post_id,poster_name,poster_headline,poster_type,company,team_or_org,post_url,posted_date,discovered_date,roles_mentioned,application_url,connection_degree,shared_context,priority,role_family,status,notes
apple_2026-08-22_06e3482e,Victor de Murat,Machine Learning Engineering Manager,hiring_manager,Apple,Online Retail Decision Automation,https://jobs.apple.com/en-us/details/200651296-0836/senior-machine-learning-engineer?team=CORSV,2026-08-22,2026-08-22,Senior ML Engineer (personalization algorithms),https://jobs.apple.com/en-us/details/200651296-0836/senior-machine-learning-engineer?team=CORSV,3rd+,HM post w/ direct apply link; Apple online-store personalization/recsys,normal,applied_ml,new,urn not in DOM; SENIOR-level -> lower attainability (4.5y exp); P3 applied ML
nvidia_2026-08-22_05f158f0,Jonathan Lorraine,Machine Learning Research at NVIDIA,engineer_researcher,NVIDIA,ML Research,https://www.linkedin.com/in/jonathanlorraine/,2026-08-22,2026-08-22,"2027 research internships (GenAI, LLM, CV, robotics, AV)",NVIDIA careers (2027 internship postings),2nd,NVIDIA researcher (T2 target) personally flagging his research group's intern openings,normal,applied_ml,new,urn not in DOM; PhD-student-oriented; internship w/ FT conversion plausible but PhD preference
together_ai_2026-07-31_ed0f5b85,Alexander Mazitov,"Senior Manager, Scaling Team at Together AI",hiring_manager,Together AI,Scaling / Large-Scale Training,https://www.linkedin.com/posts/mazitovs_im-hiring-a-research-engineer-large-scale-activity-7488898603697037312-YdQe,2026-07-31,2026-08-22,"Research Engineer, Large-Scale Training",,unclear,T1; HM direct post; P2 training family = CERBERUS DDP + mixed precision H100/A100 direct fit,high,ml_training_arch,new,DM path offered; verify req on Together careers before outreach
scale_ai_2026-07-17_64d909fe,Lin Lee Cheong,"Sr. Director, Applied Intelligence Systems, Scale Generative Platform (SGP)",hiring_manager,Scale AI,Scale Generative Platform — Applied Intelligence Systems,https://www.linkedin.com/posts/linleecheong_scaleai-ai-hiring-activity-7483679458089017344-bhyM,2026-07-17,2026-08-22,"SWE + MLE (model optimization, training & inference, distributed systems, eval/RAG)",https://lnkd.in/gUSMX4YW,unclear,T1; Sr Director growing SF/NY teams; agentic systems charter maps to ATHENA multi-agent + CAD loop evidence,high,agentic_ai,new,"MLE apply link captured; DM or apply directly; UK roles out of scope, target SF/NY"
fireworks_ai_2026-07-24_7ef773a5,Karie Hoelzer,Engineer at Fireworks AI,engineer_researcher,Fireworks AI,LLM Infrastructure,https://www.linkedin.com/posts/karie_software-engineer-llm-infrastructure-activity-7486210831039475712-q3e8,2026-07-24,2026-08-22,"Software Engineer, LLM Infrastructure (vLLM/SGLang serving infra)",,unclear,T1; vLLM/SGLang/low-level inference infra = ARTEMIS router + vLLM 6-backend evidence; fine-tuning angle present for P5 gate,normal,eval_inference,new,apply https://lnkd.in/g5mtAUm8 or DM poster/Alan Chu
tiktok_2026-05-30_17e7efc7,KUI Wen,ML at TikTok (Trust & Safety),engineer_researcher,TikTok,Trust & Safety ML (fraud/adversarial defense),https://www.linkedin.com/posts/kuiwen_my-team-is-hiring-machine-learning-engineers-activity-7466555335424532481-ZC4_,2026-05-30,2026-08-22,"ML Engineers (multimodal, graph/sequence modeling, large-scale ML infra), Seattle/Bay Area",,unclear,production ML at scale (P3); adversarial-abuse defense overlaps his published security/red-team area,normal,applied_ml,new,older post (May); DM path offered; verify openings still live first
cohere_2026-04-16_42156330,Edward Kim,"Manager, Machine Learning at Cohere (Sovereign AI org)",hiring_manager,Cohere,Sovereign AI,https://www.linkedin.com/posts/eddotman_we-are-once-again-scaling-the-sovereign-activity-7450604177581596672-4tEh,2026-04-16,2026-08-22,"ML researchers (post-training agentic LLMs, Toronto/Montreal); FDEs (North agentic platform, Ottawa); ML EM",https://lnkd.in/ew55qWdH,unclear,T1; Canada explicitly allowed for Cohere per preferences; adversarial-robustness researcher background shared context,normal,agentic_ai,new,stale-ish (Apr); verify reqs on Cohere careers; HM background in adversarial robustness = outreach angle
fieldai_2026-06-26_9c73b769,Andrzej Reinke,Product & Engineering & Research | Building embodied AI & robotics @ FieldAI,engineer_researcher,FieldAI,Embodied AI / Robotics,https://www.linkedin.com/posts/femust_were-hiring-at-fieldai-were-looking-share-7476409448840777729-O6d8,2026-06-26,2026-08-22,Agentic AI/ML Engineer (Multimodal); Agentic AI/ML Engineer; AI Solutions Engineer,https://jobs.lever.co/field-ai/28935a89-7c6b-4caf-abe7-b83b8a9958e1,unclear,T4-adjacent robotics/embodied AI (specialist lane); multimodal + agentic + production LLM = P1 fit,normal,agentic_ai,new,3 Lever reqs verified live 2026-08-22; Irvine CA onsite; poster invites apply/reach-out
scale_ai_2026-07-23_e7bb6443,Sam Evans,AI/ML Recruiter at Scale AI,recruiter,Scale AI,Enterprise GenAI / Agents,https://www.linkedin.com/posts/sam-denton-161b50126_machine-learning-research-engineer-enterprise-activity-7486079266883874817-AUo_,2026-07-23,2026-08-23,"ML Research Engineers; SWE (AI); Applied AI Engineers; MLEs — incl Frontier Agents Engineer, Agent Oversight MLE",https://lnkd.in/eFnuF5Wz,unclear,T1; recruiter explicitly hiring across agents + enterprise GenAI teams (post-Amazon AGI layoff outreach),high,agentic_ai,new,most listed reqs senior/staff but ML Research Engineer / Applied AI Engineer tiers present; verify mid-level reqs on Scale careers; DM path offered
nvidia_2026-06-30_3f49db1e,Christine Cheng,(NVIDIA) AV foundation-model training infrastructure team,engineer_researcher,NVIDIA,Autonomous Vehicles — Alpamayo VLA training infra,https://www.linkedin.com/posts/christinecheng1_senior-deep-learning-engineer-autonomous-activity-7477867284489981952-NsiA,2026-06-30,2026-08-23,Senior Deep Learning Systems Engineer - Autonomous Vehicles,https://lnkd.in/g3_cA44P,unclear,T2; distributed PyTorch training + RL infra across thousands of GPUs = CERBERUS DDP/mixed-precision direct fit,normal,ml_training_arch,new,SENIOR-level -> lower attainability at 4.5y exp; DM path offered
bosch_research_2026-07-24_b0a0a2be,Jiajing Guo,Senior Research Engineer at Bosch Research North America,engineer_researcher,Bosch Research,Agentic AI R&D,https://www.linkedin.com/posts/jiajing-guo_ai-research-engineer-agentic-ai-activity-7486278486844698624-PItM,2026-07-24,2026-08-23,AI Research Engineer - Agentic AI,https://smrtr.io/yQhjV,unclear,"self-improving agents, structured generation, memory architectures, edge deployment = CAD loop + ATHENA multi-agent alignment; Sunnyvale hybrid US location",normal,agentic_ai,new,MS acceptable (not PhD-only); T4-adjacent industrial research lane
fireworks_ai_2026-04-15_7e63698c,Angela Kan,Applied Machine Learning Engineer at Fireworks AI,engineer_researcher,Fireworks AI,Applied ML,https://www.linkedin.com/posts/angela-kan_applied-machine-learning-engineer-activity-7450312978433884160-kQfr,2026-04-15,2026-08-23,Applied Machine Learning Engineer,https://lnkd.in/gYhRZkzT,unclear,T1; end-to-end AI apps + ML platform + performance/scalability = Fortinet production ML + ARTEMIS routing fit,normal,applied_ml,new,"stale-ish (Apr 2026), verify req live; HM named: Shaunak Godbole; JD asks 5+ yrs (near-miss)"
zscaler_2026-03-08_f8476501,Swamy Kocherlakota,EVP of Agentic AI at Zscaler,hiring_manager,Zscaler,AI Security,https://www.linkedin.com/posts/swamykocherlakota_sr-staff-software-development-engineer-activity-7436433079432355840-Cccr,2026-03-08,2026-08-23,"AI Security engineers (general; securing AI/ML systems, LLM risks)",https://lnkd.in/gdnntcGQ,unclear,L1 security-AI lane; 'using AI to protect AI' maps directly to his published adversarial/red-team area + Fortinet background,normal,ai_security,new,"older post (Mar 2026); generic career links, no specific req — verify open AI-security reqs on Zscaler careers before outreach"
apple_2026-08-04_be3c5a47,Franck Yelles,"Software Engineer, Agentic Developer Platform @ Apple",hiring_manager,Apple,Agentic Developer Platform,https://www.linkedin.com/posts/fyelles_software-engineer-agentic-developer-platform-activity-7490463614450143232-686x,2026-08-04,2026-08-23,Software Engineer (production AI agents/dev tools),https://lnkd.in/g6FFhQ3X,,,high,agentic-ai,new,web-search pass (no browser session this run)
liquid_ai_2026-05-01_42b3c690,Maxime Labonne,Head of Post-Training @ Liquid AI,hiring_manager,Liquid AI,Post-Training,https://www.linkedin.com/posts/maxime-labonne_were-hiring-at-liquid-ai-come-work-activity-7458073392366223360-prPs,2026-05-01,2026-08-23,"20 open positions incl multimodal training, inference, PM",https://jobs.ashbyhq.com/liquid-ai,,T2 target; explicit applied post-training focus,high,post-training,new,web-search pass (no browser session this run)
mistral_ai_2026-07-30_ec4a9ff7,Rupert Menneer,Applied Scientist @ Mistral AI,engineer_researcher,Mistral AI,"Pre/post-training, multimodal, AI4Science",https://www.linkedin.com/posts/rupert-menneer_applied-scientist-research-engineer-internship-activity-7488649901749276672-jUok,2026-07-30,2026-08-23,Research Engineers & Applied Scientists (incl interns); US openings available,https://lnkd.in/dwhYAegd,,T2 target; 'open to making things work for exceptional talent',high,post-training,new,web-search pass (no browser session this run)
salesforce_2026-07-30_6b415bb7,Naz Delam,Engineering Leader @ Salesforce,hiring_manager,Salesforce,AI agents for enterprise customers,https://www.linkedin.com/posts/nazdelam_hiring-ai-llm-activity-7488692198927056896-7q2m,2026-07-30,2026-08-23,"LMTS/PMTS Software Engineers (agentic AI, LLM evals)",,,,high,agentic-ai,new,web-search pass (no browser session this run)
air_2026-07-24_51e97832,Andrei Lopatenko,VP Applied AI @ Air (defense),hiring_manager,Air,Agentic AI (Ace agent),https://www.linkedin.com/posts/lopatenko_lead-ai-engineer-activity-7486446367016665088-u_En,2026-07-24,2026-08-23,Senior Agentic AI Engineer (Remote-US option); Lead Agentic AI Engineer (Pittsburgh),https://lnkd.in/ghHzPkjz,,long-horizon planning/tool use/multi-agent — direct fit,high,agentic-ai,new,web-search pass (no browser session this run)
asymptote_labs_2026-08-17_d756f9a9,Justin D.,Co-founder @ Asymptote Labs,founder,Asymptote Labs,AI Detection & Response (agentic security),https://www.linkedin.com/posts/jqdsouza_asymptote-labs-is-entering-a-new-stage-of-activity-7495177804997636096-r3xs,2026-08-17,2026-08-23,Founding Security Researcher; Founding Security Engineer,https://lnkd.in/gyTGimY2,,security x AI lane = Fortinet background advantage,normal,ai-security,new,web-search pass (no browser session this run)
cloudflare_2026-08-05_62b53060,Ally A.,posts internships/early-career daily,other,Cloudflare,Research,https://www.linkedin.com/posts/ally-ariate_cloudflare-is-hiring-research-engineer-activity-7490844075605016576-wz-Q,2026-08-05,2026-08-23,"Research Engineer Intern, Fall 2026 (Austin; security/AI/distributed systems)",https://lnkd.in/d4cCGB57,,security+AI research intern,normal,eval-inference,new,web-search pass (no browser session this run)
langfuse_2026-07-29_012f0fc4,Doneyli De Jesus,Solutions @ Langfuse,team_lead,Langfuse,Agent evals & observability,https://www.linkedin.com/posts/doneyli_my-team-keeps-growing-im-hiring-an-ai-activity-7488232731055677440-g64x,2026-07-29,2026-08-23,"AI Solutions Engineer, US West Coast",,,LLM evals space adjacent to eval family,low,eval-inference,new,web-search pass (no browser session this run)
akamai_2026-04-03_59bc9065,Jinpeng LV,Engineer @ Akamai,engineer_researcher,Akamai,Inference Cloud,https://www.linkedin.com/posts/jinpeng-lv-94a40018_akamai-akamaiinferencecloud-internship-activity-7445965153558429696-zyt7,2026-04-03,2026-08-23,2026 Summer Intern — Edge Inference for LLMs (PhD intern); senior eng roles remote,,,,low,eval-inference,new,web-search pass (no browser session this run)
replicas_2026-08-12_ce39d940,Connor Loi,Co-founder @ Replicas,founder,Replicas,cloud agents dev workflow,https://www.linkedin.com/posts/connor-loi_were-hiring-founding-engineers-for-replicas-activity-7492979648671236097-mX2u,2026-08-12,2026-08-23,"Founding Engineers (SF, in-person)",,,agents-native product,low,agentic-ai,new,web-search pass (no browser session this run)
elevenlabs_2026-08-12_749345023,Nicolas Bernier,Engineering at ElevenLabs (ex-AWS AI/ML Solutions Architect),engineer_researcher,ElevenLabs,Forward Deployed,https://www.linkedin.com/posts/nicolas-bernier-ai_were-hiring-across-the-globe-if-you-want-activity-7493450235252252672-3q4f,2026-08-12,2026-08-23,Forward Deployed Software Engineer; Solutions Engineer; Deployment Strategist,https://elevenlabs.io/careers,,"Global FDE-team expansion; regions incl. Canada, India, LATAM, Poland — US roles plausible via careers page",normal,agentic_ai,new,Voice-AI/agents platform ($500M+ ARR); FDE roles hands-on building agentic voice agents
