company_slug,company_name,careers_url,ats_platform,h1b_sponsor,company_tier,sector,size,last_checked,open_roles_count,contacts_count,notes,company_category,company_priority,company_quality,research_strength,major_ai_initiatives,relevant_teams,agentic_work,post_training_work,reasoning_work,ai_infrastructure_work,security_domain_relevance,asymmetric_advantage,known_connections,referral_opportunities,next_research_date
apple,Apple,https://jobs.apple.com/,greenhouse,yes,T3,Big Tech/AI,160000+,2026-08-21,0,0,"T3 Stretch. Secrecy, PhD preference, monitor for applied roles, ONNX/edge alignment.",,P2,55,,,,,,,,,,,,
siemens,Siemens,https://careers.siemens.com/,workday,yes,T4,Industrial AI,300000+,2026-08-21,0,0,"T4 Specialist. YOUR LAB CONNECTION (Dr. Gombolay). CAD AI, Digital Twin, Simulation. Direct lab connection.",,P3,55,,,,,,,,,,,,
autodesk,Autodesk,https://www.autodesk.com/careers,greenhouse,yes,T4,CAD/AI,10000+,2026-08-21,0,0,"T4 Specialist. CAD pipeline fit, Generative Design, Research.",,P3,55,,,,,,,,,,,,
ansys,Ansys,https://www.ansys.com/careers,greenhouse,yes,T4,Simulation/AI,5000+,2026-08-21,0,0,"T4 Specialist. Simulation, Physics-Informed ML.",,P3,55,,,,,,,,,,,,
dassault,Dassault Systèmes,https://www.3ds.com/careers/,greenhouse,yes,T4,CAD/PLM,20000+,2026-08-21,0,0,"T4 Specialist. 3DEXPERIENCE, CATIA, SIMULIA, CAD/PLM, simulation.",,P3,55,,,,,,,,,,,,
ptc,PTC,https://www.ptc.com/en/careers,greenhouse,yes,T4,CAD/IIoT,6000+,2026-08-21,0,0,"T4 Specialist. Creo, Vuforia AR, Onshape, CAD/IIoT, AR.",,P3,55,,,,,,,,,,,,
hexagon,Hexagon,https://hexagon.com/careers,greenhouse,yes,T4,Geospatial/AI,20000+,2026-08-21,0,0,"T4 Specialist. Geometric verification, Geospatial, Manufacturing, Simulation.",,P3,55,,,,,,,,,,,,
cadence,Cadence,https://www.cadence.com/en_US/company/careers.html,greenhouse,yes,T4,EDA/AI,10000+,2026-08-21,0,0,"T4 Specialist. Fortinet hardware adjacency. EDA AI, Chip Design ML.",,P3,55,,,,,,,,,,,,
synopsys,Synopsys,https://www.synopsys.com/careers.html,greenhouse,yes,T4,EDA/AI,10000+,2026-08-21,0,0,"T4 Specialist. Chip design AI, EDA AI, Verification, IP.",,P3,55,,,,,,,,,,,,
nvidia_omniverse,NVIDIA (Omniverse),https://www.nvidia.com/en-us/about-nvidia/careers/,greenhouse,yes,T4,Simulation/AI,20000+,2026-08-21,0,0,"T4 Specialist. Physics simulation, Omniverse, Isaac Sim. High GT alumni.",,P3,55,,,,,,,,,,,,
intrinsic,Intrinsic,https://intrinsic.ai/careers,greenhouse,yes,T4,Robotics,100-200,2026-08-21,0,0,"T4 Specialist. Alphabet robotics, Sim2Real, Foundation models.",,P3,55,,,,,,,,,,,,
covariant,Covariant,https://covariant.ai/careers,greenhouse,yes,T4,Robotics,100-200,2026-08-21,0,0,"T4 Specialist. Robotics Manipulation, RFM, Physical AI.",,P3,55,,,,,,,,,,,,
dexterity,Dexterity,https://www.dexterity.ai/careers,greenhouse,yes,T4,Robotics,100-200,2026-08-21,0,0,"T4 Specialist. Robotics, Warehouse Automation, Dexterous manipulation.",,P3,55,,,,,,,,,,,,
