section,item,next_command
④ APPLICATIONS IN FLIGHT,"Cisco — Cisco — AI Research Scientist II [submitted] (no touch since 2026-08-24, 14d)",python scripts/application_sync.py --mark cisco_cisco_ai_research_scientist_ii_20260824 <acknowledged|interview|rejected> [reason]
⑤ FRESH JOBS,  [ 43.9] JPMorganChase — Quantitative Trading & Research - Applied Researcher - Agentic AI Systems - Associate,python scripts/apply_pipeline.py  --url https://www.linkedin.com/jobs/view/4424998520/
⑤ FRESH JOBS,  [ 42.7] Axon — Senior Agentic AI Research Scientist,python scripts/apply_pipeline.py  --url https://www.linkedin.com/jobs/view/4427067051/
⑤ FRESH JOBS,"  [ 42.1] Scale AI — Machine Learning Research Scientist, Agent Data Foundation - Enterprise GenAI",python scripts/apply_pipeline.py  --url https://www.linkedin.com/jobs/view/4331750585/
⑤ FRESH JOBS,"  [ 41.1] Bitdeer (NASDAQ: BTDR) — Applied Scientist, Agent Evaluation & Adaptive Model Routing",python scripts/apply_pipeline.py  --url https://www.linkedin.com/jobs/view/4458874866/
⑤ FRESH JOBS,"  [ 41.1] Google DeepMind — Post-training Agentic Research Scientist, DeepMind",python scripts/apply_pipeline.py  --url https://www.linkedin.com/jobs/view/4461984873/
⑤ FRESH JOBS,  [ 40.2] Sciforium — Research Engineer - Model Evaluation & MLOps,python scripts/apply_pipeline.py  --url https://www.linkedin.com/jobs/view/4459249918/
⑤ FRESH JOBS,"  [ 40.2] Distyl — Applied AI Researcher, Multi-Agent Systems",python scripts/apply_pipeline.py  --url https://www.linkedin.com/jobs/view/4412849248/
⑤ FRESH JOBS,"  [ 39.9] Otter.ai — Software Engineer, AI Agent & LLM",python scripts/apply_pipeline.py otter_ai_software_engineer_ai_agent_llm_4444245364 --url https://www.linkedin.com/jobs/view/4444245364/
⑤ FRESH JOBS,"  [ 39.7] Plaud — Machine Learning Engineer, Inference & Serving (Speech LLM) - San Francisco",python scripts/apply_pipeline.py  --url https://www.linkedin.com/jobs/view/4452716569/
⑤ FRESH JOBS,  [ 39.6] techire ai — Senior Research Scientist LLM,python scripts/apply_pipeline.py  --url https://www.linkedin.com/jobs/view/4464003818/
⑤ FRESH JOBS,  [ 39.5] UST — Agentic AI / Multi-Agent Systems Engineer,python scripts/apply_pipeline.py  --url https://www.linkedin.com/jobs/view/4459997562/
⑤ FRESH JOBS,  [ 39.2] Insight Global — Agentic AI Engineer,python scripts/apply_pipeline.py  --url https://www.linkedin.com/jobs/view/4460622999/
⑤ FRESH JOBS,"  [ 38.9] Google — Research Scientist, Cloud AI Research",python scripts/apply_pipeline.py  --url https://www.linkedin.com/jobs/view/4460241193/
⑤ FRESH JOBS,"  [ 38.7] Mirage — Research Engineer, Agentic Systems",python scripts/apply_pipeline.py  --url https://www.linkedin.com/jobs/view/4461277522/
⑤ FRESH JOBS,  [ 38.5] Meet Life Sciences — Full Stack Engineer - AI Agents,python scripts/apply_pipeline.py meet_life_sciences_full_stack_engineer_ai_agents_4460752999 --url https://www.linkedin.com/jobs/view/4460752999/
