job_id,company,title,location,job_url,canonical_application_url,source,date_discovered,date_posted,date_updated,status,fit_score,fit_tier,role_family,seniority,key_requirements,matching_strengths,main_gaps,resume_variant,networking_priority,application_priority,last_checked,notes,full_description_hash,description_file,is_medical_false_positive,company_slug,source_id,stale_flag,last_verified,merged_from,opportunity_level,recommended_action,priority_v2,score_explanation,score_confidence,missing_info,override_reason,last_scored,ats_score,keyword_match_score,keyword_matched,keyword_missing,ats_issues,last_ats_check,review_flag,application_status,audit_verdict,audit_reasons,audit_date,application_ids,referral_contacts,referral_contact_urls,days_since_checked
li_4451613120,Tower Research Capital,Machine Learning Research Engineer,"New York, United States",https://www.linkedin.com/jobs/view/4451613120/,https://www.linkedin.com/jobs/view/4451613120/,linkedin,2026-09-05,2026-09-01,,open,,,,,,,,,,,,posted_rel=3 days ago,,,,tower_research_capital,li_4451613120,,,,L3/L4 index-only,LOW_PRIORITY,37.6,fit=10.0 research=0.82(+research) tech=0.0 agentic=0.0(+) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=4.8 strategy=4.0 referral=0.5 loc=3.0 urgency=3.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-05,,,,,,,,,,,,,,,
li_4463603461,Lyft,Machine Learning Engineer,"New York, NY",https://www.linkedin.com/jobs/view/4463603461/,https://www.linkedin.com/jobs/view/4463603461/,linkedin,2026-09-05,2026-09-04,,open,,,,,,,,,,,,posted_rel=3 hours ago,,,,lyft,li_4463603461,,,,L3/L4 index-only,LOW_PRIORITY,36.8,fit=10.0 research=0.0(+) tech=0.0 agentic=0.0(+) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=4.8 strategy=4.0 referral=0.5 loc=3.0 urgency=3.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-05,,,,,,,,,,,,,,,
li_4449534864,TikTok USDS Joint Venture,Machine Learning Engineer Graduate (E-Commerce) - 2027 Start,"Seattle, WA",https://www.linkedin.com/jobs/view/4449534864/,https://www.linkedin.com/jobs/view/4449534864/,linkedin,2026-09-05,2026-08-31,,open,,,,,,,,,,,,posted_rel=4 days ago,,,,tiktok_usds_joint_venture,li_4449534864,,,,L3/L4 index-only,LOW_PRIORITY,36.8,fit=10.0 research=0.0(+) tech=0.0 agentic=0.0(+) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=4.8 strategy=4.0 referral=0.5 loc=3.0 urgency=3.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-05,,,,,,,,,,,,,,,
li_4461352904,ActAI,Applied AI Engineer,United States,https://www.linkedin.com/jobs/view/4461352904/,https://www.linkedin.com/jobs/view/4461352904/,linkedin,2026-09-05,2026-09-03,,open,,,,,,,,,,,,posted_rel=1 day ago,,,,actai,li_4461352904,,,,L3/L4 index-only,LOW_PRIORITY,36.8,fit=10.0 research=0.0(+) tech=0.0 agentic=0.0(+) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=4.8 strategy=4.0 referral=0.5 loc=3.0 urgency=3.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-05,,,,,,,,,,,,,,,
openai_researcher_agent_safety_training_and_evaluations_e1cc86e5,OpenAI,"Researcher, Agent Safety, Training and Evaluations",,https://jobs.ashbyhq.com/openai/e1cc86e5-b56c-49c0-a4a6-8cf766c27281,https://jobs.ashbyhq.com/openai/e1cc86e5-b56c-49c0-a4a6-8cf766c27281,ashby,2026-09-05,91257d21c0b5180a,,open,,,,,,,,,,,2026-09-05,career-ops scan import 2026-09-05; simhash=San Francisco,,,,openai,e1cc86e5,,,,L3/L4 index-only,LOW_PRIORITY,36.5,"fit=8.0 research=1.64(+evaluation,research) tech=0.0 agentic=0.0(+) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=7.36 strategy=5.0 referral=0.5 loc=1.5 urgency=1.0",low,visa sponsorship unverified; description_file pointer empty,,2026-09-05,,,,,,,,,,,,,,,0
li_4458470329,Bosch USA,AI Research Scientist - GenAI,"Pittsburgh, PA",https://www.linkedin.com/jobs/view/4458470329/,https://www.linkedin.com/jobs/view/4458470329/,linkedin,2026-09-05,2026-08-29,,open,,,,,,,,,,,,posted_rel=6 days ago,,,,bosch_usa,li_4458470329,,,,L3/L4 index-only,LOW_PRIORITY,36.1,fit=10.0 research=0.82(+research) tech=0.0 agentic=0.0(+) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=4.8 strategy=4.0 referral=0.5 loc=1.5 urgency=3.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-05,,,,,,,,,,,,,,,
li_4462891558,Alexander Chapman,AI Research Engineer,San Francisco Bay Area,https://www.linkedin.com/jobs/view/4462891558/,https://www.linkedin.com/jobs/view/4462891558/,linkedin,2026-09-05,2026-09-03,,open,,,,,,,,,,,,posted_rel=1 day ago,,,,alexander_chapman,li_4462891558,,,,L3/L4 index-only,LOW_PRIORITY,35.6,fit=8.0 research=0.82(+research) tech=0.0 agentic=0.0(+) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=4.8 strategy=4.0 referral=0.5 loc=3.0 urgency=3.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-05,,,,,,,,,,,,,,,
li_4462090057,Draftwise,"Forward Deployed AI Engineer, Backend - West Palm Beach","West Palm Beach, FL",https://www.linkedin.com/jobs/view/4462090057/,https://www.linkedin.com/jobs/view/4462090057/,linkedin,2026-09-05,2026-09-01,,open,,,,,,,,,,,,posted_rel=2 days ago,,,,draftwise,li_4462090057,,,,L3/L4 index-only,LOW_PRIORITY,35.3,fit=10.0 research=0.0(+) tech=0.0 agentic=0.0(+) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=4.8 strategy=4.0 referral=0.5 loc=1.5 urgency=3.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-05,,,,,,,,,,,,,,,
li_4461681728,The Home Depot,Senior Machine Learning Engineer- Generative AI (REMOTE),"Atlanta, GA",https://www.linkedin.com/jobs/view/4461681728/,https://www.linkedin.com/jobs/view/4461681728/,linkedin,2026-09-05,2026-09-04,,open,,,,,,,,,,,,posted_rel=1 hour ago,,,,the_home_depot,li_4461681728,,,,L3/L4 index-only,LOW_PRIORITY,35.3,fit=10.0 research=0.0(+) tech=0.0 agentic=0.0(+) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=4.8 strategy=4.0 referral=0.5 loc=1.5 urgency=3.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-05,,,,,,,,,,,,,,,
li_4461551065,Bright Vision Technologies,NLP AI Engineer,"Huntersville, NC",https://www.linkedin.com/jobs/view/4461551065/,https://www.linkedin.com/jobs/view/4461551065/,linkedin,2026-09-05,2026-09-01,,open,,,,,,,,,,,,posted_rel=3 days ago,,,,bright_vision_technologies,li_4461551065,,,,L3/L4 index-only,LOW_PRIORITY,35.3,fit=10.0 research=0.0(+) tech=0.0 agentic=0.0(+) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=4.8 strategy=4.0 referral=0.5 loc=1.5 urgency=3.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-05,,,,,,,,,,,,,,,
li_4461999078,IQVIA,"Senior Machine Learning Engineer, Analytics Center of Excellence (Remote/WFH)","Durham, NC",https://www.linkedin.com/jobs/view/4461999078/,https://www.linkedin.com/jobs/view/4461999078/,linkedin,2026-09-05,2026-09-04,,open,,,,,,,,,,,,posted_rel=5 hours ago,,,,iqvia,li_4461999078,,,,L3/L4 index-only,LOW_PRIORITY,35.3,fit=10.0 research=0.0(+) tech=0.0 agentic=0.0(+) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=4.8 strategy=4.0 referral=0.5 loc=1.5 urgency=3.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-05,,,,,,,,,,,,,,,
li_4450386373,Exelixis,AI and Agentic Engineer II,"Alameda, CA",https://www.linkedin.com/jobs/view/4450386373/,https://www.linkedin.com/jobs/view/4450386373/,linkedin,2026-09-05,2026-08-29,,open,,,,,,,,,,,,posted_rel=6 days ago,,,,exelixis,li_4450386373,,,,L3/L4 index-only,LOW_PRIORITY,34.4,fit=6.0 research=0.55(+agentic) tech=0.0 agentic=1.56(+agentic) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=4.8 strategy=5.0 referral=0.5 loc=1.5 urgency=3.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-05,,,,,,,,,,,,,,,
li_4402493633,webAI,AI Research Scientist (Intelligence Lab),"Austin, TX",https://www.linkedin.com/jobs/view/4402493633/,https://www.linkedin.com/jobs/view/4402493633/,linkedin,2026-09-05,2026-08-29,,open,,,,,,,,,,,,posted_rel=6 days ago,,,,webai,li_4402493633,,,,L3/L4 index-only,LOW_PRIORITY,34.1,fit=8.0 research=0.82(+research) tech=0.0 agentic=0.0(+) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=4.8 strategy=4.0 referral=0.5 loc=1.5 urgency=3.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-05,,,,,,,,,,,,,,,
li_4462408162,Harrison Clarke,AI Agent Engineer,"San Francisco, CA",https://www.linkedin.com/jobs/view/4462408162/,https://www.linkedin.com/jobs/view/4462408162/,linkedin,2026-09-05,2026-09-02,,open,,,,,,,,,,,,posted_rel=2 days ago,,,,harrison_clarke,li_4462408162,,,,L3/L4 index-only,LOW_PRIORITY,33.8,fit=6.0 research=0.0(+) tech=0.0 agentic=0.0(+) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=4.8 strategy=5.0 referral=0.5 loc=3.0 urgency=3.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-05,,,,,,,,,,,,,,,
openai_researcher_agent_safety_oversight_and_system_mitigations_7d49af15,OpenAI,"Researcher, Agent Safety, Oversight and System Mitigations",,https://jobs.ashbyhq.com/openai/7d49af15-623e-476a-9d35-831c5c9c9bf5,https://jobs.ashbyhq.com/openai/7d49af15-623e-476a-9d35-831c5c9c9bf5,ashby,2026-09-05,97257d6151b0d803,,open,,,,,,,,,,,2026-09-05,career-ops scan import 2026-09-05; simhash=San Francisco,,,,openai,7d49af15,,,,L3/L4 index-only,LOW_PRIORITY,33.7,fit=6.0 research=0.82(+research) tech=0.0 agentic=0.0(+) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=7.36 strategy=5.0 referral=0.5 loc=1.5 urgency=1.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-05,,,,,,,,,,,,,,,0
li_4463635193,Mistral,"Research Engineer, Forge","New York, NY",https://www.linkedin.com/jobs/view/4463635193/,https://www.linkedin.com/jobs/view/4463635193/,linkedin,2026-09-05,2026-09-04,,open,,,,,,,,,,,,posted_rel=1 hour ago,,,,mistral,li_4463635193,,,,L3/L4 index-only,LOW_PRIORITY,33.6,fit=6.0 research=0.82(+research) tech=0.0 agentic=0.0(+) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=4.8 strategy=4.0 referral=0.5 loc=3.0 urgency=3.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-05,,,,,,,,,,,,,,,
li_4443995560,Decagon,Research Engineer,"New York, NY",https://www.linkedin.com/jobs/view/4443995560/,https://www.linkedin.com/jobs/view/4443995560/,linkedin,2026-09-05,2026-09-03,,open,,,,,,,,,,,,posted_rel=1 day ago,,,,decagon,li_4443995560,,,,L3/L4 index-only,LOW_PRIORITY,33.6,fit=6.0 research=0.82(+research) tech=0.0 agentic=0.0(+) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=4.8 strategy=4.0 referral=0.5 loc=3.0 urgency=3.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-05,,,,,,,,,,,,,,,
li_4184497871,Skild AI,Research Scientist,"San Francisco, CA",https://www.linkedin.com/jobs/view/4184497871/,https://www.linkedin.com/jobs/view/4184497871/,linkedin,2026-09-05,2026-08-30,,open,,,,,,,,,,,,posted_rel=5 days ago,,,,skild_ai,li_4184497871,,,,L3/L4 index-only,LOW_PRIORITY,33.6,fit=6.0 research=0.82(+research) tech=0.0 agentic=0.0(+) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=4.8 strategy=4.0 referral=0.5 loc=3.0 urgency=3.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-05,,,,,,,,,,,,,,,
li_4459480294,TikTok,Research Scientist Graduate (Conversational AI)- 2027 Start (PhD),"Seattle, WA",https://www.linkedin.com/jobs/view/4459480294/,https://www.linkedin.com/jobs/view/4459480294/,linkedin,2026-09-05,2026-08-29,,open,,,,,,,,,,,,posted_rel=6 days ago,,,,tiktok,li_4459480294,,,,L3/L4 index-only,LOW_PRIORITY,33.6,fit=6.0 research=0.82(+research) tech=0.0 agentic=0.0(+) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=4.8 strategy=4.0 referral=0.5 loc=3.0 urgency=3.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-05,,,,,,,,,,,,,,,
li_4462720076,Amazon,"Applied Scientist , Sponsored Products","New York, NY",https://www.linkedin.com/jobs/view/4462720076/,https://www.linkedin.com/jobs/view/4462720076/,linkedin,2026-09-05,2026-09-03,,open,,,,,,,,,,,,posted_rel=1 day ago,,,,amazon,li_4462720076,,,,L3/L4 index-only,LOW_PRIORITY,33.6,fit=6.0 research=0.0(+) tech=0.0 agentic=0.0(+) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=5.6 strategy=4.0 referral=0.5 loc=3.0 urgency=3.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-05,,,,,,,,,,,,,,,
langchain_lead_applied_ai_engineer_e67d79a1,LangChain,Lead Applied AI Engineer,,https://jobs.ashbyhq.com/langchain/e67d79a1-cbeb-4dd2-8c81-00eb0969f911,https://jobs.ashbyhq.com/langchain/e67d79a1-cbeb-4dd2-8c81-00eb0969f911,ashby,2026-09-05,f05ede7a0d288851,,open,,,,,,,,,,,2026-09-05,"career-ops scan import 2026-09-05; simhash=New York, NY",,,,langchain,e67d79a1,,,,L3/L4 index-only,LOW_PRIORITY,33.3,fit=10.0 research=0.0(+) tech=0.0 agentic=0.0(+) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=4.8 strategy=4.0 referral=0.5 loc=1.5 urgency=1.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-05,,,,,,,,,,,,,,,0
anduril_industries_senior_machine_learning_engineer_applied_intelligence_gh_5207613007,Anduril Industries,"Senior Machine Learning Engineer, Applied Intelligence",,https://boards.greenhouse.io/andurilindustries/jobs/5207613007?gh_jid=5207613007,https://boards.greenhouse.io/andurilindustries/jobs/5207613007?gh_jid=5207613007,greenhouse,2026-09-05,209ed80b4db64a8c,,open,,,,,,,,,,,2026-09-05,"career-ops scan import 2026-09-05; simhash=Santa Ana, California, United States",,,,anduril_industries,gh_5207613007,,,,L3/L4 index-only,LOW_PRIORITY,33.3,fit=10.0 research=0.0(+) tech=0.0 agentic=0.0(+) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=4.8 strategy=4.0 referral=0.5 loc=1.5 urgency=1.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-05,,,,,,,,,,,,,,,0
li_4462718881,Bright Vision Technologies,Large Language Model Specialist,"Bothell, WA",https://www.linkedin.com/jobs/view/4462718881/,https://www.linkedin.com/jobs/view/4462718881/,linkedin,2026-09-05,2026-09-03,,open,,,,,,,,,,,,posted_rel=1 day ago,,,,bright_vision_technologies,li_4462718881,,,,L3/L4 index-only,LOW_PRIORITY,33.3,fit=8.0 research=0.0(+) tech=0.0 agentic=0.0(+) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=4.8 strategy=4.0 referral=0.5 loc=1.5 urgency=3.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-05,,,,,,,,,,,,,,,
li_4458438487,"Steampunk, Inc.",AI Evaluation Scientist,"McLean, VA",https://www.linkedin.com/jobs/view/4458438487/,https://www.linkedin.com/jobs/view/4458438487/,linkedin,2026-09-05,2026-08-29,,open,,,,,,,,,,,,posted_rel=6 days ago,,,,steampunk_inc,li_4458438487,,,,L3/L4 index-only,LOW_PRIORITY,33.1,fit=6.0 research=0.82(+evaluation) tech=0.0 agentic=0.0(+) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=4.8 strategy=5.0 referral=0.5 loc=1.5 urgency=3.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-05,,,,,,,,,,,,,,,
