section,item,next_command
④ APPLICATIONS IN FLIGHT,"Cisco — Cisco — AI Research Scientist II [submitted] (no touch since 2026-08-24, 12d)",python scripts/application_sync.py --mark cisco_cisco_ai_research_scientist_ii_20260824 <acknowledged|interview|rejected> [reason]
⑤ FRESH JOBS,"  [ 43.4] Nuro — Applied AI Researcher, Agent Systems & Evaluation",python scripts/apply_pipeline.py li_4451978665 --url https://www.linkedin.com/jobs/view/4451978665/
⑤ FRESH JOBS,"  [ 43.1] ServiceNow — Machine Learning Engineer, Agentic AI Harness & Quality - Moveworks",python scripts/apply_pipeline.py li_4433012132 --url https://www.linkedin.com/jobs/view/4433012132/
⑤ FRESH JOBS,  [ 41.1] Ambient.ai — Senior Applied Research Scientist - Foundation Models,python scripts/apply_pipeline.py li_4462031379 --url https://www.linkedin.com/jobs/view/4462031379/
⑤ FRESH JOBS,  [ 40.4] Deloitte — Agentic AI Engineer — Healthcare AI,python scripts/apply_pipeline.py li_4426737684 --url https://www.linkedin.com/jobs/view/4426737684/
⑤ FRESH JOBS,"  [ 38.8] Capital One — Lead AI Engineer (AI Foundations, LLM Customization and Finetuning)",python scripts/apply_pipeline.py li_4411379618 --url https://www.linkedin.com/jobs/view/4411379618/
⑤ FRESH JOBS,"  [ 38.3] Waymo — ML Engineer, Foundation Model Recipes",python scripts/apply_pipeline.py li_4451404240 --url https://www.linkedin.com/jobs/view/4451404240/
⑤ FRESH JOBS,"  [ 38.0] Harvey — Research Engineer, Post-Training",python scripts/apply_pipeline.py li_4433423818 --url https://www.linkedin.com/jobs/view/4433423818/
⑤ FRESH JOBS,  [ 37.6] Tower Research Capital — Machine Learning Research Engineer,python scripts/apply_pipeline.py li_4451613120 --url https://www.linkedin.com/jobs/view/4451613120/
⑤ FRESH JOBS,  [ 36.8] Lyft — Machine Learning Engineer,python scripts/apply_pipeline.py li_4463603461 --url https://www.linkedin.com/jobs/view/4463603461/
⑤ FRESH JOBS,  [ 36.8] TikTok USDS Joint Venture — Machine Learning Engineer Graduate (E-Commerce) - 2027 Start,python scripts/apply_pipeline.py li_4449534864 --url https://www.linkedin.com/jobs/view/4449534864/
⑤ FRESH JOBS,  [ 36.8] ActAI — Applied AI Engineer,python scripts/apply_pipeline.py li_4461352904 --url https://www.linkedin.com/jobs/view/4461352904/
⑤ FRESH JOBS,"  [ 36.5] OpenAI — Researcher, Agent Safety, Training and Evaluations",python scripts/apply_pipeline.py openai_researcher_agent_safety_training_and_evaluations_e1cc86e5 --url https://jobs.ashbyhq.com/openai/e1cc86e5-b56c-49c0-a4a6-8cf766c27281
⑤ FRESH JOBS,  [ 36.1] Bosch USA — AI Research Scientist - GenAI,python scripts/apply_pipeline.py li_4458470329 --url https://www.linkedin.com/jobs/view/4458470329/
⑤ FRESH JOBS,  [ 35.6] Alexander Chapman — AI Research Engineer,python scripts/apply_pipeline.py li_4462891558 --url https://www.linkedin.com/jobs/view/4462891558/
⑤ FRESH JOBS,"  [ 35.3] Draftwise — Forward Deployed AI Engineer, Backend - West Palm Beach",python scripts/apply_pipeline.py li_4462090057 --url https://www.linkedin.com/jobs/view/4462090057/
